Date,Transaction Description,Category,Amount,Type
2022-01-16,Taxi monthly app.,Rent,576.86,Expense
2022-01-16,End bit game thousand.,Entertainment,47.69,Expense
2022-01-17,Electricity mortgage digital debit.,Shopping,1571.77,Expense
2022-01-17,Deposit daily package purchase advance subscription.,Other,4332.09,Income
2022-01-17,Priority deal.,Health & Fitness,198.75,Expense
2022-01-17,Household subscription.,Travel,758.1,Expense
2022-01-18,Phone mortgage tools monthly digital electricity.,Health & Fitness,1310.58,Expense
2022-01-18,Gym package clinic fuel hotel mortgage insurance.,Other,2855.41,Income
2022-01-18,Gym market.,Health & Fitness,747.39,Expense
2022-01-18,Invoice contract premium system bonus.,Utilities,430.06,Expense
2022-01-18,Advance contract payment tools standard electricity.,Food & Drink,1308.68,Expense
2022-01-18,Order party lot all.,Salary,1746.91,Income
2022-01-18,Threat church big day couple.,Food & Drink,1414.49,Expense
2022-01-18,Direct monthly maintenance delivery mortgage credit.,Food & Drink,1247.1,Expense
2022-01-18,Reward annual online.,Salary,1591.47,Income
2022-01-18,Insurance adjustment electricity network insurance vendor.,Rent,1561.17,Expense
2022-01-19,Online booking system water.,Food & Drink,1275.5,Expense
2022-01-19,Booking total premium plan grocery client.,Salary,353.6,Income
2022-01-19,Mall booking bus water mortgage.,Health & Fitness,1131.29,Expense
2022-01-19,Purchase vendor advance taxi.,Rent,381.72,Expense
2022-01-19,Package train business net booking project.,Rent,1123.24,Expense
2022-01-19,Digital economy train digital priority order.,Shopping,1147.85,Expense
2022-01-19,Utility advance purchase mall material credit charge.,Utilities,1359.02,Expense
2022-01-20,Household tax.,Salary,889.51,Income
2022-01-20,Household fuel contract net system equipment.,Shopping,847.59,Expense
2022-01-20,Fee pending internet credit.,Health & Fitness,1169.34,Expense
2022-01-20,Invoice food pending.,Food & Drink,840.72,Expense
2022-01-20,Personal client direct shop.,Travel,1564.73,Expense
2022-01-20,Pending salary bus taxi.,Food & Drink,30.85,Expense
2022-01-20,Clinic contract market network.,Entertainment,770.36,Expense
2022-01-20,Fuel total subscription monthly.,Salary,1599.38,Income
2022-01-20,Phone weekly.,Other,2171.97,Income
2022-01-21,Approach about because.,Shopping,634.37,Expense
2022-01-21,Balance charge platform express maintenance.,Travel,1391.81,Expense
2022-01-21,Digital daily tax restaurant tools monthly.,Food & Drink,1143.54,Expense
2022-01-21,Software travel fee tools.,Salary,773.37,Income
2022-01-21,Enter example down anyone occur.,Health & Fitness,1996.26,Expense
2022-01-21,App service regular restaurant software tools standard.,Other,2884.5,Income
2022-01-22,Deposit reward debit hardware utility.,Food & Drink,1695.05,Expense
2022-01-22,Grocery account gross deposit freelance material.,Salary,520.41,Income
2022-01-22,Discount tools deal plan platform.,Other,1268.95,Income
2022-01-22,Advance project maintenance equipment entertainment mortgage reward.,Utilities,1124.51,Expense
2022-01-22,Best deal point.,Other,4975.0,Income
2022-01-22,Adjustment direct material adjustment.,Rent,1832.37,Expense
2022-01-22,Loan delivery bill fee financial discount.,Rent,964.59,Expense
2022-01-23,Travel service tools restaurant.,Food & Drink,690.24,Expense
2022-01-23,Purchase total market travel.,Shopping,414.14,Expense
2022-01-23,Bonus maintenance household financial.,Shopping,518.66,Expense
2022-01-23,Such final however major.,Travel,1224.05,Expense
2022-01-23,Household invoice digital loan plan tools.,Food & Drink,337.94,Expense
2022-01-24,Politics hold.,Investment,2785.0,Income
2022-01-24,Payment contract charge credit.,Health & Fitness,954.21,Expense
2022-01-25,Discount bonus service direct equipment.,Other,1398.59,Income
2022-01-25,Digital savings mortgage personal.,Travel,1848.39,Expense
2022-01-25,Account food market entertainment fuel financial.,Shopping,501.63,Expense
2022-01-25,Electricity bus.,Health & Fitness,1580.5,Expense
2022-01-25,Gross app daily weekly salary app gross.,Health & Fitness,1153.05,Expense
2022-01-25,Business bus.,Travel,1041.59,Expense
2022-01-25,Daily daily water.,Shopping,1092.34,Expense
2022-01-25,Personal tax credit bill internet train.,Entertainment,1744.7,Expense
2022-01-25,Deposit maintenance freelance software.,Food & Drink,1181.25,Expense
2022-01-25,Health market economy adjustment utility.,Health & Fitness,439.98,Expense
2022-01-26,Restaurant account food credit pharmacy management salary.,Health & Fitness,966.62,Expense
2022-01-26,Transfer balance monthly project equipment freelance transfer.,Other,1027.45,Income
2022-01-26,Daily package.,Utilities,327.67,Expense
2022-01-26,Purchase priority freelance insurance investment daily salary.,Salary,762.16,Income
2022-01-26,Vendor weekly plan interest.,Entertainment,1281.85,Expense
2022-01-26,Reward charge charge personal water.,Shopping,267.83,Expense
2022-01-26,Software advance software credit express deposit.,Other,2623.98,Income
2022-01-27,Budget booking premium taxi.,Investment,3181.34,Income
2022-01-27,Train fuel credit restaurant.,Entertainment,1274.18,Expense
2022-01-27,Loan daily.,Health & Fitness,712.25,Expense
2022-01-27,Flight electricity freelance balance fuel purchase.,Utilities,1310.9,Expense
2022-01-27,Personal reward bonus renewal.,Utilities,1033.16,Expense
2022-01-27,Priority clinic support system internet.,Salary,750.38,Income
2022-01-27,Fuel parking invoice.,Shopping,1139.38,Expense
2022-01-27,Management deal net tax.,Shopping,741.97,Expense
2022-01-28,Hard knowledge enjoy let.,Entertainment,1883.56,Expense
2022-01-28,Phone reward.,Shopping,798.18,Expense
2022-01-28,Fuel mall investment bill household bonus subscription.,Entertainment,1110.52,Expense
2022-01-28,Renewal flight utility bill.,Food & Drink,957.5,Expense
2022-01-28,Delivery personal.,Investment,1848.96,Income
2022-01-28,Account debit budget.,Rent,1632.34,Expense
2022-01-28,Daily maintenance gross tax adjustment.,Rent,1866.2,Expense
2022-01-29,Package balance bill project processed.,Health & Fitness,1036.45,Expense
2022-01-29,Freelance mortgage debit special digital contract.,Utilities,1698.35,Expense
2022-01-29,Financial train renewal internet train charge account.,Shopping,399.03,Expense
2022-01-29,Deal tools.,Travel,291.14,Expense
2022-01-29,Gym gym health loan.,Other,4288.48,Income
2022-01-29,Discount maintenance salary client equipment financial app.,Health & Fitness,1418.26,Expense
2022-01-29,Total contract client.,Health & Fitness,1188.07,Expense
2022-01-30,Flight platform budget credit bonus economy reward.,Health & Fitness,1296.22,Expense
2022-01-30,Hospital account taxi booking package payment.,Health & Fitness,936.72,Expense
2022-01-30,Adjustment adjustment app subscription travel hardware deal.,Travel,392.95,Expense
2022-01-31,Taxi pending household express priority regular freelance.,Investment,1517.18,Income
2022-01-31,Network electricity flight management salary household app.,Salary,1403.81,Income
2022-01-31,Express project loan gym app.,Other,1913.98,Income
2022-01-31,Freelance premium project store restaurant delivery renewal.,Travel,210.53,Expense
2022-01-31,Phone contract service financial reward.,Other,1213.28,Income
2022-02-01,Savings credit advance freelance gym hardware.,Rent,1093.66,Expense
2022-02-01,Standard express reward.,Salary,1006.6,Income
2022-02-01,Internet parking financial fuel purchase weekly.,Salary,720.68,Income
2022-02-01,Order subscription transfer fee debit bill regular.,Food & Drink,1286.68,Expense
2022-02-01,Electricity hotel payment.,Utilities,577.35,Expense
2022-02-01,Client automatic.,Other,2376.91,Income
2022-02-01,Nor character recent.,Travel,1412.75,Expense
2022-02-02,Clinic store system processed purchase loan.,Utilities,1074.38,Expense
2022-02-02,Gross business package package.,Entertainment,901.42,Expense
2022-02-02,Property space.,Salary,640.91,Income
2022-02-02,Salary invoice account plan hotel.,Health & Fitness,1337.73,Expense
2022-02-02,Freelance client contract.,Entertainment,888.03,Expense
2022-02-02,Flight plan invoice premium phone.,Shopping,957.02,Expense
2022-02-03,Interest economy.,Utilities,1184.21,Expense
2022-02-03,Freelance pharmacy credit market.,Rent,1020.53,Expense
2022-02-03,Contract loan.,Travel,1078.15,Expense
2022-02-03,Reward network.,Health & Fitness,616.06,Expense
2022-02-04,Standard market deposit fee charge purchase.,Utilities,236.1,Expense
2022-02-04,Hotel contract gym.,Rent,210.39,Expense
2022-02-04,Package delivery bonus purchase parking hardware.,Travel,108.5,Expense
2022-02-04,Clinic household.,Investment,2751.56,Income
2022-02-04,Personal daily service daily insurance.,Rent,1211.47,Expense
2022-02-04,Support hardware internet automatic gym plan.,Health & Fitness,565.24,Expense
2022-02-05,Pharmacy household loan automatic.,Shopping,1299.26,Expense
2022-02-05,Account subscription credit.,Investment,2650.15,Income
2022-02-05,Debit management tools restaurant.,Other,3710.45,Income
2022-02-05,Platform management account grocery balance.,Travel,874.69,Expense
2022-02-05,Processed purchase credit priority.,Utilities,1181.13,Expense
2022-02-05,Digital tools economy subscription online.,Salary,1399.88,Income
2022-02-05,Think live bad total research.,Shopping,1792.56,Expense
2022-02-05,Dinner article hit mission whole.,Travel,582.7,Expense
2022-02-06,Too song quality per build.,Health & Fitness,1909.67,Expense
2022-02-06,Personal monthly parking.,Other,2297.41,Income
2022-02-06,Account standard market.,Salary,1562.7,Income
2022-02-06,Charge booking hotel material hotel.,Travel,1457.93,Expense
2022-02-06,Deal travel savings.,Utilities,1733.96,Expense
2022-02-06,Contract system regular purchase financial.,Travel,1315.45,Expense
2022-02-06,Loan online loan.,Food & Drink,1331.15,Expense
2022-02-06,Loan water.,Investment,1718.18,Income
2022-02-07,Utility economy tools freelance bus internet charge.,Health & Fitness,1369.68,Expense
2022-02-07,Store insurance gross economy utility mall.,Travel,1382.99,Expense
2022-02-08,Investment water special entertainment subscription.,Utilities,512.82,Expense
2022-02-08,Charge direct material household.,Shopping,1374.09,Expense
2022-02-08,Water package personal shop annual budget.,Other,2670.6,Income
2022-02-08,Hardware deal business platform project restaurant.,Rent,1315.1,Expense
2022-02-08,We cold deep.,Travel,93.71,Expense
2022-02-08,Amount bad raise.,Rent,699.26,Expense
2022-02-08,Gross vendor taxi internet personal fee.,Food & Drink,369.7,Expense
2022-02-08,Gym food service.,Entertainment,1282.59,Expense
2022-02-09,Balance balance.,Food & Drink,1702.87,Expense
2022-02-09,Economy special daily charge client client purchase.,Utilities,1634.73,Expense
2022-02-09,Train loan tax budget management special personal.,Utilities,1412.76,Expense
2022-02-09,Challenge organization floor road southern.,Travel,1497.2,Expense
2022-02-09,Salary software deal train automatic.,Investment,3642.16,Income
2022-02-09,Advance reward project platform deal food.,Shopping,399.08,Expense
2022-02-09,Electricity automatic renewal delivery investment total.,Other,2679.59,Income
2022-02-09,Plan bus.,Investment,2171.11,Income
2022-02-09,Premium mall.,Salary,242.18,Income
2022-02-09,Food travel clinic financial.,Other,3689.05,Income
2022-02-09,Network credit.,Rent,1496.87,Expense
2022-02-09,Travel financial health monthly.,Other,1437.54,Income
2022-02-09,Transfer premium bonus credit discount.,Health & Fitness,1405.79,Expense
2022-02-10,Interest deal.,Utilities,1777.01,Expense
2022-02-10,News need task mind.,Travel,1866.72,Expense
2022-02-10,Onto site both change note.,Utilities,227.36,Expense
2022-02-10,Test they there.,Entertainment,1279.51,Expense
2022-02-10,Understand none.,Entertainment,492.49,Expense
2022-02-10,Restaurant bonus travel.,Shopping,1010.07,Expense
2022-02-10,Bonus savings express plan interest subscription.,Rent,1369.87,Expense
2022-02-11,Advance daily subscription.,Salary,525.15,Income
2022-02-11,Management health credit savings financial contract annual.,Health & Fitness,1392.01,Expense
2022-02-11,Pressure occur list common.,Other,3205.0,Income
2022-02-11,Reward total store digital express platform.,Food & Drink,657.06,Expense
2022-02-11,Software express hardware gross maintenance.,Other,2217.07,Income
2022-02-11,Deal personal total hardware premium.,Health & Fitness,594.93,Expense
2022-02-11,Train freelance.,Shopping,1018.75,Expense
2022-02-11,Electricity credit.,Food & Drink,782.28,Expense
2022-02-11,Bill standard pending.,Salary,586.58,Income
2022-02-12,Balance annual.,Other,4557.41,Income
2022-02-12,Daily weekly contract contract digital internet hardware.,Shopping,927.49,Expense
2022-02-12,Subscription management direct plan financial loan mall.,Rent,773.64,Expense
2022-02-12,Clinic project personal delivery system reward.,Other,3216.23,Income
2022-02-12,Gross special standard plan gym grocery.,Investment,2191.67,Income
2022-02-12,Renewal purchase reward utility.,Salary,424.48,Income
2022-02-12,Phone savings total.,Travel,1308.97,Expense
2022-02-13,Network support electricity.,Shopping,1662.54,Expense
2022-02-13,Hospital service adjustment gym equipment.,Utilities,1236.33,Expense
2022-02-13,Credit budget direct.,Utilities,627.75,Expense
2022-02-13,Monthly subscription.,Travel,898.69,Expense
2022-02-13,Deal bill budget renewal.,Travel,411.18,Expense
2022-02-14,Freelance food.,Other,2435.46,Income
2022-02-14,Purchase support processed support hospital.,Rent,1556.85,Expense
2022-02-14,Plan business utility financial monthly business.,Utilities,886.8,Expense
2022-02-14,Reward grocery flight vendor charge.,Travel,958.75,Expense
2022-02-14,Invoice invoice.,Food & Drink,975.53,Expense
2022-02-14,Peace race i.,Rent,1365.57,Expense
2022-02-15,Daily gross network order system client booking.,Food & Drink,590.19,Expense
2022-02-15,Charge maintenance flight support.,Entertainment,1830.14,Expense
2022-02-15,Account personal system.,Utilities,239.79,Expense
2022-02-15,Travel bonus daily transfer bus.,Entertainment,1386.19,Expense
2022-02-15,Fee gym fuel.,Food & Drink,1020.8,Expense
2022-02-16,Service interest salary travel project.,Salary,1710.26,Income
2022-02-16,Discount tax grocery electricity weekly train net.,Salary,895.12,Income
2022-02-16,Monthly bill electricity hardware app fee entertainment.,Food & Drink,416.6,Expense
2022-02-16,Flight pharmacy discount phone daily annual.,Utilities,1164.79,Expense
2022-02-16,Digital standard booking gross renewal.,Investment,2497.15,Income
2022-02-16,Market personal app platform tools.,Shopping,603.25,Expense
2022-02-16,Maintenance package client renewal.,Entertainment,1645.33,Expense
2022-02-16,Digital equipment electricity contract order.,Entertainment,1736.84,Expense
2022-02-16,Client project support software personal premium.,Shopping,1914.86,Expense
2022-02-16,Insurance fuel personal app clinic.,Other,2816.61,Income
2022-02-17,Feel season similar.,Food & Drink,1816.79,Expense
2022-02-17,Deal restaurant.,Food & Drink,1474.37,Expense
2022-02-17,Real any little environmental.,Investment,3833.0,Income
2022-02-17,Full soldier.,Salary,960.12,Income
2022-02-17,Successful teach range.,Other,3131.0,Income
2022-02-17,System tools credit charge balance daily debit.,Food & Drink,574.89,Expense
2022-02-17,Fee express salary weekly mortgage economy.,Shopping,142.44,Expense
2022-02-17,Tools balance vendor weekly clinic train.,Utilities,1568.08,Expense
2022-02-17,Client platform water management annual account standard.,Utilities,248.14,Expense
2022-02-17,Priority investment.,Rent,939.81,Expense
2022-02-17,Charge parking total.,Shopping,1277.42,Expense
2022-02-18,Booking hospital taxi subscription market internet.,Food & Drink,1603.97,Expense
2022-02-18,Balance store tools vendor mortgage budget economy.,Entertainment,1383.42,Expense
2022-02-18,Mortgage pharmacy.,Entertainment,1255.02,Expense
2022-02-18,Rock painting become.,Investment,4883.0,Income
2022-02-18,Hotel insurance app interest digital.,Rent,395.51,Expense
2022-02-19,Entertainment platform.,Salary,969.86,Income
2022-02-19,Adjustment parking budget order.,Utilities,35.77,Expense
2022-02-19,Advance delivery deposit.,Investment,3895.51,Income
2022-02-19,Vendor tools express maintenance.,Entertainment,906.9,Expense
2022-02-19,Gross economy app debit total.,Other,1752.35,Income
2022-02-19,Processed mall credit monthly personal reward.,Investment,2096.9,Income
2022-02-19,Hotel budget advance tax annual regular platform.,Shopping,1316.81,Expense
2022-02-19,Balance household order reward special balance.,Other,3471.64,Income
2022-02-20,Booking fuel client budget.,Other,2051.63,Income
2022-02-20,Deposit electricity tools deal vendor.,Utilities,672.33,Expense
2022-02-20,Reward deposit system.,Investment,3787.71,Income
2022-02-20,Hardware interest total monthly material renewal insurance.,Rent,1164.9,Expense
2022-02-20,Purchase online fuel.,Utilities,1109.55,Expense
2022-02-20,App total tax investment advance express parking.,Utilities,1237.63,Expense
2022-02-20,Restaurant account maintenance purchase food gym.,Rent,258.62,Expense
2022-02-20,Travel gym budget contract utility savings train.,Salary,1352.29,Income
2022-02-21,Savings store shop standard advance debit.,Rent,1952.75,Expense
2022-02-21,Tree imagine machine.,Food & Drink,1827.33,Expense
2022-02-21,Support special pharmacy reward platform.,Food & Drink,761.44,Expense
2022-02-21,Fuel investment net delivery restaurant management insurance.,Rent,683.03,Expense
2022-02-21,Support hardware digital online.,Rent,860.35,Expense
2022-02-21,Freelance processed hotel hospital delivery premium.,Entertainment,225.56,Expense
2022-02-22,Delivery plan transfer store subscription.,Travel,1391.04,Expense
2022-02-22,Food health software.,Entertainment,1978.7,Expense
2022-02-22,Career surface these ahead.,Shopping,1578.04,Expense
2022-02-22,Hardware premium adjustment network premium.,Entertainment,1419.25,Expense
2022-02-22,Plan flight taxi regular household weekly.,Health & Fitness,935.79,Expense
2022-02-22,Pharmacy freelance.,Entertainment,932.55,Expense
2022-02-22,System pharmacy.,Other,705.05,Income
2022-02-22,Start middle city find.,Investment,797.0,Income
2022-02-23,Household credit.,Health & Fitness,1653.38,Expense
2022-02-23,Clinic financial shop.,Other,3253.58,Income
2022-02-23,Entertainment booking.,Utilities,365.15,Expense
2022-02-23,Support digital.,Entertainment,634.33,Expense
2022-02-24,Deposit clinic.,Rent,738.13,Expense
2022-02-24,Market pending transfer special.,Other,3436.45,Income
2022-02-24,Annual store savings.,Salary,1403.06,Income
2022-02-25,Total interest credit pending.,Food & Drink,921.04,Expense
2022-02-25,Phone freelance.,Food & Drink,973.36,Expense
2022-02-25,Direct package bonus maintenance annual health.,Other,760.43,Income
2022-02-25,Student economic lead.,Other,806.0,Income
2022-02-25,Equipment fee delivery internet.,Investment,1499.94,Income
2022-02-26,Market balance advance bus.,Other,2543.44,Income
2022-02-26,Hardware net deposit daily budget.,Salary,1134.82,Income
2022-02-26,Mall system freelance.,Entertainment,1429.56,Expense
2022-02-27,Priority subscription.,Utilities,1198.7,Expense
2022-02-27,Vendor travel processed balance platform contract.,Shopping,1320.95,Expense
2022-02-27,Transfer online annual credit subscription business invoice.,Investment,2418.06,Income
2022-02-27,Account payment.,Other,3347.63,Income
2022-02-27,Digital account mall gross.,Rent,658.17,Expense
2022-02-27,Balance adjustment.,Shopping,260.11,Expense
2022-02-27,Special maintenance gross.,Utilities,1699.36,Expense
2022-02-27,Ever statement measure.,Investment,3244.0,Income
2022-02-28,Food express balance system bill debit.,Rent,1379.33,Expense
2022-02-28,Advance deal internet.,Other,2755.47,Income
2022-02-28,Interest grocery payment.,Rent,860.88,Expense
2022-02-28,Food clinic.,Entertainment,1738.09,Expense
2022-02-28,Weekly management project.,Utilities,1173.17,Expense
2022-02-28,Tax credit.,Shopping,1532.59,Expense
2022-02-28,Internet utility app special.,Travel,277.04,Expense
2022-02-28,Maintenance business account tax.,Utilities,1534.79,Expense
2022-02-28,Market mortgage delivery pending.,Food & Drink,954.22,Expense
2022-03-01,Invoice deal client.,Health & Fitness,1079.52,Expense
2022-03-01,Priority hotel budget balance account digital.,Utilities,1682.0,Expense
2022-03-01,Drop major.,Salary,1779.63,Income
2022-03-01,Bus credit.,Shopping,734.69,Expense
2022-03-02,System reward electricity standard.,Entertainment,1243.34,Expense
2022-03-02,Shop bus clinic premium.,Travel,1198.04,Expense
2022-03-02,Network delivery express gym phone.,Travel,1127.54,Expense
2022-03-02,Whether listen necessary.,Other,2735.0,Income
2022-03-02,Charge software.,Shopping,1320.33,Expense
2022-03-02,Delivery management phone mortgage bill.,Entertainment,1494.91,Expense
2022-03-02,Vendor phone total fee digital pending deposit.,Utilities,610.4,Expense
2022-03-02,Insurance hardware service economy support digital.,Other,3943.19,Income
2022-03-02,Tax net bonus salary food automatic.,Travel,856.86,Expense
2022-03-02,Interest express premium client mall automatic travel.,Entertainment,724.61,Expense
2022-03-03,Payment plan priority premium travel store water.,Investment,944.54,Income
2022-03-03,Investment entertainment.,Other,2758.09,Income
2022-03-03,Charge advance priority electricity mortgage savings.,Investment,1676.14,Income
2022-03-03,Order bill store order.,Other,879.85,Income
2022-03-03,Debit direct bus financial.,Entertainment,1306.12,Expense
2022-03-03,Food special hardware.,Food & Drink,599.53,Expense
2022-03-04,Insurance invoice adjustment express market.,Utilities,911.21,Expense
2022-03-04,Network advance debit budget.,Other,4184.37,Income
2022-03-04,Priority premium hardware direct software household.,Other,2098.96,Income
2022-03-04,Insurance internet weekly.,Health & Fitness,559.6,Expense
2022-03-04,Vendor purchase.,Entertainment,1890.45,Expense
2022-03-04,Study else store.,Investment,3208.0,Income
2022-03-05,Subscription hotel.,Rent,1905.74,Expense
2022-03-05,Salary regular payment.,Health & Fitness,1143.27,Expense
2022-03-05,Deposit maintenance bonus electricity food.,Utilities,994.48,Expense
2022-03-05,Digital train vendor electricity.,Utilities,823.92,Expense
2022-03-05,Express subscription mall vendor transfer network.,Travel,996.53,Expense
2022-03-05,Parking order maintenance tax savings automatic.,Salary,1176.34,Income
2022-03-05,Deposit project business interest parking grocery utility.,Utilities,801.33,Expense
2022-03-05,Agree anyone take.,Other,2607.0,Income
2022-03-06,Financial priority loan package charge package project.,Entertainment,1873.6,Expense
2022-03-06,Restaurant savings household material train support.,Salary,1862.26,Income
2022-03-06,Flight tax insurance savings renewal.,Other,4122.35,Income
2022-03-06,Subscription advance balance total subscription utility.,Entertainment,60.45,Expense
2022-03-06,Delivery support household gross daily.,Food & Drink,1126.22,Expense
2022-03-06,Food booking online.,Health & Fitness,1412.8,Expense
2022-03-06,Package debit delivery electricity debit.,Entertainment,1452.53,Expense
2022-03-06,Food processed adjustment.,Food & Drink,572.12,Expense
2022-03-07,Positive question especially.,Food & Drink,1475.87,Expense
2022-03-07,Bill service maintenance delivery network.,Shopping,1064.31,Expense
2022-03-07,After sister should across treatment.,Entertainment,359.23,Expense
2022-03-07,Equipment annual app payment train bonus.,Investment,3116.14,Income
2022-03-07,Charge insurance utility total.,Salary,447.55,Income
2022-03-08,Clinic credit.,Entertainment,1103.62,Expense
2022-03-08,Train reward network client business.,Rent,1384.02,Expense
2022-03-08,Salary insurance tax total.,Rent,891.81,Expense
2022-03-08,Priority market service.,Rent,407.03,Expense
2022-03-08,Weekly phone.,Travel,717.04,Expense
2022-03-09,Automatic bill daily gym pharmacy.,Investment,1667.84,Income
2022-03-09,Pharmacy travel transfer.,Other,1947.08,Income
2022-03-09,Hardware support daily.,Entertainment,1021.85,Expense
2022-03-09,Store net gross store.,Health & Fitness,1329.89,Expense
2022-03-09,Discount processed.,Entertainment,1428.58,Expense
2022-03-10,Tools material.,Shopping,319.44,Expense
2022-03-10,Equipment bonus parking subscription system.,Entertainment,1078.62,Expense
2022-03-10,Bonus net hardware package.,Entertainment,1565.07,Expense
2022-03-10,Invoice premium daily payment.,Investment,2324.04,Income
2022-03-10,Business network tax health debit restaurant health.,Food & Drink,227.82,Expense
2022-03-10,Market digital service project vendor.,Food & Drink,618.34,Expense
2022-03-10,Hotel vendor utility vendor platform payment total.,Health & Fitness,390.42,Expense
2022-03-10,Water hospital.,Shopping,1449.7,Expense
2022-03-10,Parking booking.,Utilities,1727.88,Expense
2022-03-11,Booking deal freelance booking total electricity loan.,Utilities,554.18,Expense
2022-03-11,Mall travel network fee maintenance equipment.,Food & Drink,908.77,Expense
2022-03-11,Shop network adjustment annual train.,Investment,1719.05,Income
2022-03-11,Net freelance express.,Entertainment,614.05,Expense
2022-03-11,Deposit system.,Utilities,1278.87,Expense
2022-03-11,Shop network taxi clinic food.,Salary,1330.09,Income
2022-03-11,Delivery vendor store mortgage food.,Travel,397.38,Expense
2022-03-11,Clinic transfer deal network advance fee.,Utilities,678.68,Expense
2022-03-11,Processed savings booking.,Rent,678.01,Expense
2022-03-11,Software bill restaurant hotel salary.,Entertainment,1004.46,Expense
2022-03-11,Charge discount financial.,Food & Drink,1379.01,Expense
2022-03-11,Flight tax balance transfer mortgage grocery.,Investment,2211.69,Income
2022-03-11,Equipment tools loan hospital clinic bill.,Shopping,657.05,Expense
2022-03-11,Annual material equipment material.,Utilities,1158.44,Expense
2022-03-12,Pharmacy savings water special.,Food & Drink,1093.19,Expense
2022-03-12,Subscription market plan total premium contract.,Other,728.28,Income
2022-03-12,Maintenance platform internet service software.,Health & Fitness,496.71,Expense
2022-03-12,Song difference part wall require.,Shopping,1655.71,Expense
2022-03-12,Freelance daily salary automatic.,Health & Fitness,59.14,Expense
2022-03-12,Service hardware direct electricity hotel equipment.,Salary,706.05,Income
2022-03-12,Credit hardware.,Food & Drink,1186.51,Expense
2022-03-13,Direct delivery.,Shopping,212.44,Expense
2022-03-13,Platform system loan savings daily express insurance.,Shopping,727.57,Expense
2022-03-13,Express hospital network software.,Investment,2639.5,Income
2022-03-13,Platform discount delivery tools water software.,Rent,1234.82,Expense
2022-03-14,Time surface learn design.,Rent,807.66,Expense
2022-03-14,Tools total management annual system premium financial.,Shopping,85.75,Expense
2022-03-14,Monthly invoice standard account deposit phone.,Shopping,916.45,Expense
2022-03-14,Deal store electricity express credit.,Salary,1915.5,Income
2022-03-15,Service internet flight.,Shopping,373.06,Expense
2022-03-15,Grocery special grocery personal priority.,Rent,1490.91,Expense
2022-03-15,Salary deal investment contract.,Rent,1217.03,Expense
2022-03-16,Insurance network.,Rent,910.43,Expense
2022-03-16,Gym balance.,Travel,90.91,Expense
2022-03-16,Software store.,Health & Fitness,437.68,Expense
2022-03-16,Invoice grocery grocery shop advance net phone.,Health & Fitness,1631.34,Expense
2022-03-16,Fuel personal plan account.,Health & Fitness,851.76,Expense
2022-03-16,Total store order health hotel account service.,Salary,486.71,Income
2022-03-16,Loan account fuel platform store material express.,Entertainment,846.36,Expense
2022-03-16,Fee personal.,Entertainment,1174.05,Expense
2022-03-17,Direct tools transfer.,Food & Drink,1332.04,Expense
2022-03-17,Business clinic.,Food & Drink,296.03,Expense
2022-03-17,Positive participant fear blue as.,Entertainment,23.59,Expense
2022-03-17,Station however bill memory production.,Investment,4411.0,Income
2022-03-17,Contract purchase platform adjustment fuel charge.,Food & Drink,769.35,Expense
2022-03-18,Contract renewal.,Shopping,77.55,Expense
2022-03-18,Premium pharmacy.,Travel,1419.57,Expense
2022-03-18,Invoice pending financial investment.,Travel,974.81,Expense
2022-03-18,Personal maintenance order internet deposit.,Shopping,1086.44,Expense
2022-03-18,Vendor fee.,Salary,983.73,Income
2022-03-18,Race return pretty young.,Travel,1310.83,Expense
2022-03-18,Technology end represent throughout.,Salary,1509.98,Income
2022-03-18,Change she tonight.,Travel,1169.1,Expense
2022-03-18,Automatic savings regular special.,Utilities,1027.38,Expense
2022-03-19,Hotel vendor deposit credit hardware daily.,Travel,942.46,Expense
2022-03-19,Household maintenance order discount.,Shopping,262.03,Expense
2022-03-19,Debit software hotel mall annual.,Rent,491.03,Expense
2022-03-19,Material financial software client.,Investment,3405.93,Income
2022-03-19,Fuel water equipment payment.,Investment,3189.38,Income
2022-03-20,Hotel bill deal hardware gym invoice fuel.,Shopping,579.5,Expense
2022-03-20,Bill maintenance account shop insurance.,Rent,701.48,Expense
2022-03-20,Account charge order mall balance contract total.,Entertainment,1024.41,Expense
2022-03-20,Priority plan regular investment payment.,Shopping,823.34,Expense
2022-03-20,Risk develop movement size.,Utilities,816.78,Expense
2022-03-20,Identify say on yes.,Food & Drink,1338.89,Expense
2022-03-21,Direct bonus net hospital support train.,Rent,807.54,Expense
2022-03-21,Advance hardware household service service advance client.,Food & Drink,941.98,Expense
2022-03-21,Delivery software.,Rent,1278.54,Expense
2022-03-21,Insurance net order pending.,Travel,1182.5,Expense
2022-03-21,Service gross charge.,Health & Fitness,1222.74,Expense
2022-03-21,Material premium priority bill.,Food & Drink,1105.36,Expense
2022-03-22,Feel color price next.,Travel,1383.68,Expense
2022-03-22,Balance automatic investment business.,Salary,1677.16,Income
2022-03-22,Payment management mall travel.,Rent,680.25,Expense
2022-03-22,Renewal travel economy.,Health & Fitness,1275.38,Expense
2022-03-22,System water digital processed.,Other,2763.34,Income
2022-03-22,Monthly order grocery charge train.,Rent,950.58,Expense
2022-03-23,Order annual tax water.,Other,3516.81,Income
2022-03-23,Online bonus interest tax water.,Rent,1395.14,Expense
2022-03-23,Personal pending water subscription.,Utilities,1221.98,Expense
